Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Matches
209,Nahuel Ferraresi,ve VEN,DF,São Paulo,26-336,1998,19,16,1493,16.6,0,3,3,0,0,0,3,0,0.2,0.2,2.3,2.5,29,89,25,0.00,0.18,0.18,0.00,0.18,0.01,0.14,0.15,0.01,0.15,Matches
210,Ferreira,br BRA,FW,São Paulo,27-294,1997,20,14,1102,12.2,4,2,6,4,0,1,3,0,4.1,3.3,1.8,5.1,44,54,120,0.33,0.16,0.49,0.33,0.49,0.33,0.15,0.48,0.27,0.42,Matches
211,Bruno Ferreira,br BRA,GK,Ceará,31-219,1994,21,21,1863,20.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
212,Lucas Ferreira,br BRA,FW,São Paulo,19-176,2006,13,8,761,8.5,0,0,0,0,0,0,1,0,1.1,1.1,0.6,1.7,34,17,75,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches
213,Luiz Filipe,br BRA,FW,Mirassol,24-146,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Matches
214,André Filipinho,br BRA,DF,Juventude,28-281,1997,5,3,303,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,2,19,6,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches
215,Riquelme Fillipi,br BRA,FW,Palmeiras,19-036,2006,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Matches
216,Caíque França,br BRA,GK,Sport Recife,30-140,1995,12,12,1080,12.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
217,Matheus França,br BRA,"MF,FW",Vasco da Gama,21-203,2004,7,0,114,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,7,11,0.00,0.00,0.00,0.00,0.00,0.18,0.05,0.24,0.18,0.24,Matches
218,Ryan Francisco,br BRA,"FW,MF",São Paulo,18-334,2006,8,2,205,2.3,2,0,2,2,0,0,0,0,0.5,0.5,0.2,0.8,3,2,9,0.88,0.00,0.88,0.88,0.88,0.23,0.10,0.33,0.23,0.33,Matches
219,Alan Franco,ec ECU,MF,Atlético Mineiro,27-061,1998,22,22,1908,21.2,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,7,64,11,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
220,Alan Franco,ar ARG,DF,São Paulo,29-010,1996,22,21,1724,19.2,0,0,0,0,0,0,5,0,1.0,1.0,0.4,1.5,5,49,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.05,0.08,Matches
221,Luan Freitas,br BRA,DF,Juventude,24-274,2001,6,5,495,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,15,0,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
222,Lucas Freitas,br BRA,DF,Vasco da Gama,24-274,2001,19,18,1441,16.0,1,0,1,1,0,0,4,0,0.3,0.3,0.0,0.3,14,65,5,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches
223,Marlon Freitas,br BRA,MF,Botafogo (RJ),30-208,1995,26,24,2114,23.5,1,4,5,1,0,0,6,0,0.9,0.9,2.3,3.2,23,177,27,0.04,0.17,0.21,0.04,0.21,0.04,0.10,0.14,0.04,0.14,Matches
224,Riquelme Freitas,br BRA,"FW,MF",Grêmio,19-069,2006,10,4,388,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,3,14,14,0.00,0.00,0.00,0.00,0.00,0.07,0.19,0.25,0.07,0.25,Matches
225,Juan Freytes,ar ARG,DF,Fluminense,25-283,2000,24,24,2159,24.0,0,0,0,0,0,0,6,1,0.6,0.6,0.1,0.7,15,90,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
226,Adonis Frías,ar ARG,DF,Santos,27-218,1998,5,4,392,4.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,24,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
227,Bruno Fuchs,br BRA,DF,Palmeiras,26-203,1999,18,12,1090,12.1,2,0,2,2,0,0,4,0,1.0,1.0,0.7,1.7,11,74,3,0.17,0.00,0.17,0.17,0.17,0.08,0.06,0.14,0.08,0.14,Matches
228,Gabriel Fuentes,co COL,DF,Fluminense,28-254,1997,9,8,735,8.2,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.5,15,45,58,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
229,Daniel Fuzato,br BRA,GK,Vasco da Gama,28-109,1997,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
230,Gabriel,br BRA,DF,Bahia,24-168,2001,10,8,764,8.5,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,1,11,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
231,Gabriel,br BRA,"MF,FW",Mirassol,35-288,1990,20,17,1253,13.9,3,1,4,3,0,0,2,0,3.0,3.0,1.8,4.8,20,48,72,0.22,0.07,0.29,0.22,0.29,0.21,0.13,0.34,0.21,0.34,Matches
232,Gabriel,br BRA,GK,Vitória,33-024,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
233,Gabriel,br BRA,GK,Sport Recife,33-024,1992,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
234,Gabriel,br BRA,MF,RB Bragantino,33-103,1992,25,24,1940,21.6,1,0,1,1,0,0,10,0,0.5,0.5,0.6,1.1,12,77,19,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches
235,Victor Gabriel,br BRA,DF,Internacional,21-176,2004,12,11,974,10.8,2,0,2,2,0,0,1,0,0.9,0.9,0.0,1.0,8,26,9,0.18,0.00,0.18,0.18,0.18,0.08,0.00,0.09,0.08,0.09,Matches
236,Antonio Galeano,py PAR,FW,Ceará,25-213,2000,28,28,2332,25.9,5,3,8,5,0,0,2,0,4.2,4.2,2.9,7.1,55,50,153,0.19,0.12,0.31,0.19,0.31,0.16,0.11,0.28,0.16,0.28,Matches
237,Emerson Galego,br BRA,"FW,MF",Juventude,26-072,1999,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
238,Mateo Gamarra,py PAR,DF,Cruzeiro,25-001,2000,2,1,154,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
239,Ganso,br BRA,MF,Fluminense,36-009,1989,14,7,592,6.6,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,5,42,20,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12,Matches
240,Maurício Garcez,br BRA,"FW,MF",Juventude,28-219,1997,3,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
241,Benjamín Garré,ar ARG,"FW,MF",Vasco da Gama,25-102,2000,10,3,293,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,7,18,16,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
242,Rodrigo Garro,ar ARG,MF,Corinthians,27-290,1998,13,9,921,10.2,0,2,2,0,0,0,4,0,1.0,1.0,2.9,3.9,11,73,63,0.00,0.20,0.20,0.00,0.20,0.10,0.28,0.38,0.10,0.38,Matches
243,Lucas Gazal,br BRA,DF,Fortaleza,26-076,1999,3,3,270,3.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,6,13,2,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Matches
244,Gerson,br BRA,"FW,MF",Flamengo,28-154,1997,9,9,711,7.9,0,2,2,0,0,0,0,1,0.7,0.7,1.6,2.3,11,60,45,0.00,0.25,0.25,0.00,0.25,0.09,0.21,0.30,0.09,0.30,Matches
245,Agustín Giay,ar ARG,DF,Palmeiras,21-278,2004,23,19,1750,19.4,0,0,0,0,0,0,1,0,0.3,0.3,1.2,1.5,29,77,75,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
246,Gil,br BRA,DF,Santos,38-131,1987,8,8,720,8.0,0,0,0,0,0,0,3,0,0.4,0.4,0.0,0.4,0,7,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
247,Gilberto,br BRA,DF,Bahia,32-228,1993,19,18,1506,16.7,1,0,1,1,0,0,6,0,0.6,0.6,0.8,1.4,35,69,40,0.06,0.00,0.06,0.06,0.06,0.03,0.05,0.08,0.03,0.08,Matches
248,Gilberto,br BRA,FW,Juventude,36-138,1989,21,14,1016,11.3,2,2,4,2,0,1,5,0,2.5,1.8,0.5,2.2,3,11,26,0.18,0.18,0.35,0.18,0.35,0.23,0.04,0.27,0.16,0.20,Matches
249,Giovanny,br BRA,"FW,MF",Juventude,28-032,1997,11,4,372,4.1,0,1,1,0,0,0,2,0,0.7,0.7,1.0,1.8,14,10,25,0.00,0.24,0.24,0.00,0.24,0.18,0.25,0.42,0.18,0.42,Matches
250,Daniel Giraldo,co COL,MF,Juventude,33-112,1992,14,7,678,7.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,6,27,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
251,Leonardo Godoy,ar ARG,DF,Santos,30-176,1995,6,5,416,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,5,8,9,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
252,Davi Goes,br BRA,MF,Juventude,20-121,2005,2,1,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
253,Bruno Gomes,br BRA,"MF,DF",Internacional,24-200,2001,4,1,130,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,11,2,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches
254,Davi Gomes,br BRA,FW,RB Bragantino,20-137,2005,4,0,145,1.6,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,2,2,11,0.62,0.00,0.62,0.62,0.62,0.27,0.05,0.32,0.27,0.32,Matches
255,Fredi Gomes,br BRA,DF,Bahia,19-151,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
256,Igor Gomes,br BRA,"MF,FW",Atlético Mineiro,26-218,1999,25,14,1150,12.8,3,2,5,3,0,0,3,0,1.9,1.9,1.4,3.3,12,65,37,0.23,0.16,0.39,0.23,0.39,0.15,0.11,0.26,0.15,0.26,Matches
257,Carlos Gómez,co COL,FW,Vasco da Gama,23-039,2002,9,3,446,5.0,0,3,3,0,0,0,1,0,1.0,1.0,1.3,2.3,15,1,30,0.00,0.61,0.61,0.00,0.61,0.21,0.26,0.47,0.21,0.47,Matches
258,Gustavo Gómez,py PAR,DF,Palmeiras,32-168,1993,21,21,1850,20.6,2,1,3,2,0,0,6,0,1.8,1.8,1.0,2.8,7,51,8,0.10,0.05,0.15,0.10,0.15,0.09,0.05,0.14,0.09,0.14,Matches
259,Nuno Gonçalo Moreira,pt POR,"FW,MF",Vasco da Gama,26-127,1999,29,28,2094,23.3,6,5,11,6,0,0,2,0,3.1,3.1,4.4,7.4,53,113,149,0.26,0.21,0.47,0.26,0.47,0.13,0.19,0.32,0.13,0.32,Matches
260,Matheus Gonçalves,br BRA,FW,Flamengo,20-064,2005,4,0,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,3,8,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Matches
261,Gregore,br BRA,MF,Botafogo (RJ),31-233,1994,12,11,982,10.9,0,0,0,0,0,0,3,0,0.2,0.2,0.6,0.8,11,67,10,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
262,Guga,br BRA,DF,Fluminense,27-053,1998,15,10,891,9.9,1,1,2,1,0,0,1,0,0.1,0.1,0.9,1.0,10,46,21,0.10,0.10,0.20,0.10,0.20,0.01,0.09,0.11,0.01,0.11,Matches
263,Guilherme,br BRA,"MF,FW",Mirassol,34-153,1991,6,4,317,3.5,1,0,1,1,0,0,2,0,0.7,0.7,0.5,1.2,7,17,19,0.28,0.00,0.28,0.28,0.28,0.20,0.15,0.34,0.20,0.34,Matches
264,Guilherme,br BRA,"FW,MF",Santos,30-191,1995,22,22,1736,19.3,4,2,6,4,0,0,0,0,4.6,4.6,2.7,7.3,72,64,189,0.21,0.10,0.31,0.21,0.31,0.24,0.14,0.38,0.24,0.38,Matches
265,Guilherme,br BRA,DF,RB Bragantino,23-249,2002,9,7,616,6.8,1,1,2,1,0,0,2,0,0.6,0.6,0.7,1.3,17,15,24,0.15,0.15,0.29,0.15,0.29,0.09,0.10,0.19,0.09,0.19,Matches
266,Ryan Guilherme,br BRA,MF,Cruzeiro,22-318,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,0.30,Matches
267,Zé Guilherme,br BRA,"DF,FW",Bahia,20-219,2005,3,0,86,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,3,5,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
268,Gustavinho,br BRA,MF,RB Bragantino,21-181,2004,10,2,269,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,7,27,18,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.14,0.10,0.14,Matches
269,Gustavo,br BRA,GK,Juventude,32-225,1993,10,10,855,9.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
270,Luiz Gustavo,br BRA,"MF,DF",São Paulo,38-090,1987,3,2,204,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,15,5,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches
271,Luiz Gustavo,br BRA,DF,Vasco da Gama,19-192,2006,5,3,288,3.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,2,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
272,Ryan Gustavo,br BRA,MF,Corinthians,22-098,2003,15,5,503,5.6,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4,23,6,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
273,Yeison Guzmán,co COL,MF,Fortaleza,27-213,1998,4,1,183,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,4,7,18,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Matches
274,Lucas Halter,br BRA,DF,Vitória,25-172,2000,26,26,2319,25.8,2,1,3,2,0,0,6,1,1.8,1.8,1.0,2.8,13,65,0,0.08,0.04,0.12,0.08,0.12,0.07,0.04,0.11,0.07,0.11,Matches
275,Héctor,es ESP,"FW,MF",Corinthians,30-037,1995,9,3,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,0,0,13,0.37,0.00,0.37,0.37,0.37,0.19,0.02,0.21,0.19,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
276,Henrique,br BRA,"FW,MF",São Paulo,18-346,2006,3,0,43,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,5,4,8,0.00,2.09,2.09,0.00,2.09,0.05,1.01,1.06,0.05,1.06,Matches
277,Bruno Henrique,br BRA,"FW,MF",Flamengo,34-295,1990,24,14,1263,14.0,2,0,2,1,1,1,4,0,3.4,2.6,0.5,3.1,32,31,103,0.14,0.00,0.14,0.07,0.07,0.24,0.03,0.28,0.19,0.22,Matches
278,Bruno Henrique,br BRA,MF,Internacional,36-000,1989,22,18,1242,13.8,2,0,2,2,0,0,3,1,1.9,1.9,0.4,2.2,6,68,23,0.14,0.00,0.14,0.14,0.14,0.13,0.03,0.16,0.13,0.16,Matches
279,Dalbert Henrique,br BRA,"DF,FW",Sport Recife,32-043,1993,5,0,110,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,2,6,18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
280,Gustavo Henrique,br BRA,DF,Corinthians,32-211,1993,15,15,1350,15.0,1,0,1,1,0,0,3,0,1.6,1.6,0.1,1.7,1,32,2,0.07,0.00,0.07,0.07,0.07,0.10,0.01,0.11,0.10,0.11,Matches
281,Matheus Henrique,br BRA,"MF,FW",Cruzeiro,27-306,1997,13,6,585,6.5,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.4,8,18,7,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
282,Paulo Henrique,br BRA,DF,Vasco da Gama,29-088,1996,22,22,1953,21.7,1,6,7,1,0,0,8,0,1.5,1.5,2.9,4.4,75,69,157,0.05,0.28,0.32,0.05,0.32,0.07,0.13,0.20,0.07,0.20,Matches
283,Pedro Henrique,br BRA,FW,Ceará,35-127,1990,21,12,1055,11.7,4,2,6,4,0,0,5,0,2.7,2.7,1.0,3.7,35,14,59,0.34,0.17,0.51,0.34,0.51,0.23,0.08,0.32,0.23,0.32,Matches
284,Pedro Henrique,br BRA,DF,RB Bragantino,30-019,1995,26,26,2239,24.9,1,1,2,1,0,0,4,0,0.8,0.8,0.7,1.5,18,86,1,0.04,0.04,0.08,0.04,0.08,0.03,0.03,0.06,0.03,0.06,Matches
285,Hércules,br BRA,MF,Fluminense,25-001,2000,24,19,1631,18.1,3,0,3,3,0,0,1,0,1.6,1.6,0.1,1.7,15,76,30,0.17,0.00,0.17,0.17,0.17,0.09,0.00,0.10,0.09,0.10,Matches
286,Diogo Hereda,br BRA,DF,Sport Recife,27-031,1998,11,10,848,9.4,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.7,18,47,77,0.00,0.11,0.11,0.00,0.11,0.03,0.04,0.07,0.03,0.07,Matches
287,Marcelo Hermes,br BRA,DF,Juventude,30-262,1995,14,13,1212,13.5,0,2,2,0,0,0,3,0,0.5,0.5,1.9,2.3,25,50,50,0.00,0.15,0.15,0.00,0.15,0.03,0.14,0.17,0.03,0.17,Matches
288,José Herrera,ar ARG,FW,Fortaleza,22-188,2003,10,6,437,4.9,0,0,0,0,0,0,1,0,1.3,1.3,0.3,1.6,21,12,42,0.00,0.00,0.00,0.00,0.00,0.26,0.07,0.33,0.26,0.33,Matches
289,Lucca Holanda,br BRA,"FW,MF",Internacional,22-202,2003,4,1,161,1.8,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,5,2,9,0.00,0.00,0.00,0.00,0.00,0.27,0.07,0.34,0.27,0.34,Matches
290,Hudson,br BRA,MF,Juventude,24-280,2001,3,3,207,2.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
291,Hugo,br BRA,DF,Corinthians,28-053,1997,7,4,287,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,16,20,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
292,Victor Hugo,br BRA,MF,Flamengo,21-163,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
293,Victor Hugo,br BRA,"MF,FW",Santos,21-163,2004,4,2,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,6,8,5,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.06,0.12,Matches
294,Victor Hugo,br BRA,DF,Sport Recife,16-313,2008,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
295,Vitor Hugo,br BRA,DF,Atlético Mineiro,34-154,1991,14,11,969,10.8,2,0,2,2,0,0,3,0,0.8,0.8,0.1,0.9,3,28,1,0.19,0.00,0.19,0.19,0.19,0.07,0.01,0.08,0.07,0.08,Matches
296,Huguinho,br BRA,MF,Botafogo (RJ),18-198,2007,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
297,Hulk,br BRA,"FW,MF",Atlético Mineiro,39-088,1986,23,19,1788,19.9,4,3,7,3,1,1,9,0,3.7,2.9,3.1,6.0,31,44,129,0.20,0.15,0.35,0.15,0.30,0.19,0.16,0.34,0.15,0.30,Matches
298,José Hurtado,ec ECU,DF,RB Bragantino,23-302,2001,22,17,1491,16.6,1,0,1,1,0,0,2,1,0.4,0.4,0.6,1.0,35,62,51,0.06,0.00,0.06,0.06,0.06,0.03,0.03,0.06,0.03,0.06,Matches
299,Hyan,br BRA,MF,Santos,21-211,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Matches
300,Hyoran,br BRA,"MF,FW",Sport Recife,32-149,1993,8,4,301,3.3,0,1,1,0,0,0,2,0,0.6,0.6,1.0,1.6,10,20,25,0.00,0.30,0.30,0.00,0.30,0.18,0.29,0.47,0.18,0.47,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
301,Iago,br BRA,"DF,MF",Bahia,28-212,1997,11,6,501,5.6,1,0,1,1,0,0,1,0,0.9,0.9,0.3,1.3,6,14,37,0.18,0.00,0.18,0.18,0.18,0.16,0.06,0.23,0.16,0.23,Matches
302,Ignácio,br BRA,DF,Fluminense,28-324,1996,13,9,788,8.8,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.8,1,5,2,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Matches
303,Juan Ignacio Dinenno,ar ARG,FW,Cruzeiro,31-054,1994,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
304,Juan Ignacio Dinenno,ar ARG,FW,São Paulo,31-054,1994,7,3,262,2.9,1,0,1,1,0,0,2,0,1.0,1.0,0.1,1.1,1,1,14,0.34,0.00,0.34,0.34,0.34,0.33,0.04,0.37,0.33,0.37,Matches
305,Juan Ignacio Ramírez,uy URU,FW,Sport Recife,28-262,1997,7,3,289,3.2,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,1,2,14,0.00,0.00,0.00,0.00,0.00,0.25,0.01,0.26,0.25,0.26,Matches
306,Isaac,br BRA,DF,Atlético Mineiro,21-209,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
307,Isaque,br BRA,MF,Fluminense,18-180,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
308,Mateus Iseppe,br BRA,MF,Atlético Mineiro,19-172,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
309,Ismael,pt POR,MF,Vitória,26-210,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.85,0.85,0.85,Matches
310,Zé Ivaldo,br BRA,DF,Santos,28-242,1997,14,13,1179,13.1,1,0,1,1,0,0,6,1,0.9,0.9,0.0,0.9,6,35,0,0.08,0.00,0.08,0.08,0.08,0.07,0.00,0.07,0.07,0.07,Matches
311,Ivan,br BRA,GK,Internacional,28-111,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
312,Leo Jacó,br BRA,"FW,MF",Vasco da Gama,20-198,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
313,Jadson,br BRA,MF,Juventude,32-052,1993,27,27,2395,26.6,0,1,1,0,0,0,8,0,0.8,0.8,0.9,1.7,13,114,61,0.00,0.04,0.04,0.00,0.04,0.03,0.03,0.06,0.03,0.06,Matches
